  id  |           name            | year_printed |  sheet   
 1263 | Mavora                    |         1973 | S141
 1265 | Alexandra                 |         1978 | S143
 1267 | Hyde                      |         1978 | S145
 1270 | Wilmot                    |         1973 | S148
 1275 | Teviot                    |         1982 | S153
 1277 | Waikouaiti                |         1972 | S155
 1279 | Heath                     |         1973 | S157
 1282 | Lumsdem                   |         1970 | S160
 1284 | Lawrence                  |         1972 | S162
 1286 | Dunedin                   |         1972 | S164
 1288 | Cameron                   |         1974 | S166
 1291 | Winton                    |         1975 | S169
 1293 | Waitahuna                 |         1981 | S171
 1295 | Preservation and Hakapoua |         1974 | S173-174
 1297 | Riverton                  |         1980 | S176
 1300 | Balclutha                 |         1975 | S179
 1302 | Omaui & Bluff             |         1977 | S181-182
 1304 | Papatowai                 |         1977 | S184
  774 | South Cape and Whiore     |         1981 | C50-D50
  776 | Ohai                      |         1985 | D45
  777 | Riverton                  |         1984 | D46
  779 | Bluff                     |         1987 | D48
  781 | 0                         |         1981 | E48-F48
  783 | Waikaia                   |         1986 | F44
  784 | Gore                      |         1981 | F45
  786 | Haast Pass                |         1989 | G38
  788 | Ranfurly                  |         1989 | H41
  790 | Middlemarch               |         1989 | H43
  791 | Lawrence                  |         1987 | H44
  793 | Balclutha                 |         1981 | H46
  795 | Godley                    |         1989 | I36
  797 | Kurow                     |         1987 | I40
  798 | Danseys Pass              |         1984 | I41
  800 | Waikouaiti                |         1981 | I43
  802 | Taieri Mouth              |         1980 | I45
  804 | Hokitika                  |         1982 | J32
  806 | Timaru                    |         1983 | J39-K39
  807 | Waimate                   |         1984 | J40
  809 | Hampden                   |         1984 | J42
  811 | Punakaiki                 |         1984 | K30
  813 | Lake Brunner              |         1982 | K32
  814 | Otira                     |         1989 | K33
  816 | Coleridge                 |         1989 | K35
  818 | Hinds                     |         1985 | K37
  820 | Three Kings               |         1984 | L01
  821 | Kahurangi                 |         1984 | L25
  823 | Karamea                   |         1984 | L27
  825 | Reefton                   |         1983 | L30
  826 | Springs Junction          |         1981 | L31
  828 | Rakaia                    |         1982 | L36
  830 | North Cape                |         1984 | M02-N02
  832 | Collingwood               |         1984 | M25
  834 | Mount Arthur              |         1984 | M27
  897 | Patea                     |         1980 | Q26
  835 | Wangapeka                 |         1987 | M28
  837 | Matakitaki                |         1989 | M30
  839 | Boyle                     |         1989 | M32
  841 | Christchurch              |         1984 | M35
  842 | Lincoln                   |         1984 | M36
  844 | Houhora                   |         1984 | N03
  846 | Herekino                  |         1983 | N05
  848 | Takaka                    |         1986 | N26
  849 | Moutere                   |         1987 | N27
  851 | St Arnaud                 |         1984 | N29
  853 | Acheron                   |         1988 | N31
  855 | Motunau                   |         1983 | N36
  856 | Akaroa                    |         1982 | N37
  858 | Kaitaia                   |         1984 | O04
  860 | Waipoua                   |         1987 | O06
  862 | Aranga                    |         1980 | O26
  863 | Nelson                    |         1982 | O27
  865 | Waihopai                  |         1986 | O29
  867 | Kaikoura                  |         1989 | O31
  869 | Kaikohe                   |         1984 | P05
  870 | Mangakahia                |         1989 | P06
  872 | Ruawai                    |         1980 | P08
  874 | New Plymouth              |         1984 | P19
  876 | Manaia                    |         1983 | P21
  877 | Manaia                    |         1980 | P25
  879 | Picton                    |         1981 | P27
