  id  |                                 name                                 | series  |                   sheet                   | year_printed | uploadedmap_id |                                   extent                                   
  478 | Pakiri                                                               | NZMS1   | N29                                       |         1969 |                | BOX(174.584271571399 -36.2786518233374,175.043648184734 -36.0288342908735)
 1488 | Rototuna                                                             | NZMS260 | P09                                       |         1998 |                | BOX(173.884201861873 -36.5188825218273,174.111247400123 -36.2463272707399)
 1280 | Monowai                                                              | NZMS1   | S158                                      |         1973 |                | BOX(167.258529402795 -45.9127165570802,167.803859450247 -45.6481415837669)
 1982 | Moana                                                                | Topo50  | BU20                                      |         2009 |                | BOX(171.386213841416 -42.7869335013578,171.686378319895 -42.459098146769)
  458 | North Cape                                                           | NZMS1   | N1-2                                      |         1970 |                | BOX(172.612798825155 -34.5244125107367,173.064523291611 -34.3746915412014)
  198 | Ashburton                                                            | NZMS1   | S92                                       |         1942 |                | BOX(171.500109209092 -43.9983462493042,172.013108891343 -43.7503166785965)
 2038 | Manurewa Point                                                       | Topo50  | BR34                                      |         2009 |                | BOX(175.443046705387 -41.7956317480125,175.743876050178 -41.4652072006028)
  629 | Buller                                                               | NZMS1   | S31                                       |         1972 |                | BOX(171.50011924203 -42.0229343566208,171.996936697155 -41.7748953080762)
  413 | Orepuki                                                              | NZMS1   | S175                                      |         1967 |                | BOX(167.220489093521 -46.4052503735501,167.770965536554 -46.1403908920281)
   71 | Tarawera                                                             | NZMS1   | N77                                       |         1952 |                | BOX(176.437208451383 -38.2531336770478,176.910356174654 -38.0013672444242)
 1915 | Norsewood                                                            | Topo50  | BL36                                      |         2009 |                | BOX(175.945057235641 -40.1625692815656,176.240422582953 -39.8311927899796)
  588 | Eketahuna                                                            | NZMS1   | N153                                      |         1975 |                | BOX(175.500175514087 -40.7276712468912,175.987233725853 -40.4796236141726)
 1606 | Whakatane                                                            | NZMS260 | W15                                       |         1988 |                | BOX(176.86008393406 -38.0769517190488,177.102506631547 -37.7989355918159)
 1026 | Thames                                                               | NZMS1   | N49                                       |         1979 |                | BOX(175.500188464203 -37.2682964055527,175.964088127844 -37.0202203692462)
  624 | Hope                                                                 | NZMS1   | S26                                       |         1973 |                | BOX(172.486109014201 -41.7716990200596,172.984627572718 -41.5194693531791)
 2390 | WD15                                                                 | NZMS13  | WD15                                      |         1881 |                | BOX(171.209527575103 -42.7030597282091,171.49013399207 -42.5167153730168)
  626 | Blenheim                                                             | NZMS1   | S28                                       |         1972 |                | BOX(173.471675698895 -41.7589160567767,173.973587982624 -41.5025768043235)
 1264 | Kingston                                                             | NZMS1   | S142                                      |         1974 |                | BOX(168.344850463798 -45.4491615909949,168.881506803132 -45.1893930610542)
  823 | Karamea                                                              | NZMS260 | L27                                       |         1984 |                | BOX(172.043724660703 -41.3845396504435,172.285782638511 -41.1127040492025)
 1528 | Matemateaonga                                                        | NZMS260 | R20                                       |         1984 |                | BOX(174.62068680219 -39.4836847117956,175.092055129355 -39.2058500076332)
  480 | North Head                                                           | NZMS1   | N32                                       |         1972 |                | BOX(173.968973094606 -36.518771181092,174.126410348357 -36.2697843835442)
  280 | Mahia                                                                | NZMS1   | N117-127                                  |         1969 |                | BOX(177.87417659941 -39.2209692887539,178.094038831101 -38.9696066765788)
 2169 | Whakatane                                                            | NZMS15  | 3                                         |         1919 |                | BOX(176.61955 -38.80395,177.25426 -38.5599)
 1374 | Tapanui                                                              | NZMS260 | G45                                       |         1998 |                | BOX(169.115680351339 -46.199901691953,169.649054693086 -45.9145320362736)
 1981 | Punakaiki                                                            | Topo50  | BS19                                      |         2009 |                | BOX(171.112513424277 -42.1350018296741,171.410856012199 -41.8065264050704)
 1164 | Saxton                                                               | NZMS1   | S34                                       |         1971 |                | BOX(172.984627572718 -42.0132635178932,173.486847763093 -41.7589160567767)
