  id  |               name                | year_printed |         sheet         
 1841 | Hokianga Harbour                  |         2009 | AW26
 1842 | Mercury Islands                   |         2009 | AZ36ptsAZ35,BA35,BA36
 1843 | Cooks Beach                       |         2009 | BA36ptBA35
 1844 | Whitianga                         |         2009 | BA35
 1845 | Claris                            |         2009 | AY34
 1846 | Hauturu / Little Barrier Island   |         2009 | AY33
 1847 | Cape Rodney                       |         2009 | AY32
 1848 | Mangawhai                         |         2009 | AY31
 1849 | Coromandel                        |         2009 | BA34
 1850 | Waiheke Island                    |         2009 | BA33
 1851 | Auckland                          |         2009 | BA32
 1852 | Waitemata Harbour                 |         2009 | BA31
 1853 | Mayor Island (Tuhua)              |         2009 | BC37
 1854 | Katikati                          |         2009 | BC36
 1855 | Paeroa                            |         2009 | BC35
 1856 | Ngatea                            |         2009 | BC34
 1857 | Te Kauwhata                       |         2009 | BC33
 1858 | Pukekawa                          |         2009 | BC32
 1859 | Port Waikato                      |         2009 | BC31
 1860 | Maungaturoto                      |         2009 | AY30
 1861 | Ruawai                            |         2009 | AY29
 1862 | Te Kopuru                         |         2009 | AY28
 1863 | Helensville                       |         2009 | BA30
 1864 | Waipiro Bay                       |         2009 | BE45
 1865 | Te Puia Springs                   |         2009 | BE44
 1866 | Huiarua                           |         2009 | BE43
 1867 | Moutohora Island                  |         2009 | BD40ptBE40
 1868 | Houpoto                           |         2009 | BE42
 1869 | Opotiki                           |         2009 | BE41
 1870 | Whakatane                         |         2009 | BE40
 1871 | Matata                            |         2009 | BD39ptBE39
 1872 | Edgecumbe                         |         2009 | BE39
 1873 | Whangara                          |         2009 | BG44
 1874 | Gisborne                          |         2009 | BG43
 1875 | Ngatapa                           |         2009 | BG42
 1876 | Ruakituri                         |         2009 | BG41
 1877 | Waikaremoana                      |         2009 | BG40
 1878 | Ruatahuna                         |         2009 | BG39
 1879 | Whirinaki                         |         2009 | BJ39
 1880 | Lake Rotoma                       |         2009 | BE38
 1881 | Rotorua                           |         2009 | BE37
 1882 | Mamaku                            |         2009 | BE36
 1883 | Putaruru                          |         2009 | BE35
 1884 | Kihikihi                          |         2009 | BE34
 1885 | Pirongia                          |         2009 | BE33
 1886 | Kawhia                            |         2009 | BE32
 1887 | Albatross Point                   |         2009 | BE31
 1888 | Wairapukao                        |         2009 | BG38
 1889 | Iwitahi                           |         2009 | BG37
 1890 | Taupo                             |         2009 | BG36
 1891 | Tihoi                             |         2009 | BG35
 1892 | Te Pohue                          |         2009 | BJ38
 1893 | Kuripapango                       |         2009 | BJ37
 1894 | Tawake Tohunga                    |         2009 | BJ36
 1895 | Waiouru                           |         2009 | BJ35
 1896 | Piropiro                          |         2009 | BG34
 1897 | Ongarue                           |         2009 | BG33
 1898 | Ohura                             |         2009 | BG32
 1899 | Mokau                             |         2009 | BG31
 1900 | Mount Ruapehu                     |         2009 | BJ34
 1901 | Raetihi                           |         2009 | BJ33
 1902 | Pipiriki                          |         2009 | BJ32
 1903 | Strathmore                        |         2009 | BJ31
 1904 | Cape Stephens                     |         2009 | BN29ptBN28
 1905 | Port Hardy                        |         2009 | BN28
 1906 | Cape Koamaru                      |         2009 | BP30ptBQ30
 1907 | Farewell Spit                     |         2009 | BM25ptBN25
 1908 | Cape Farewell                     |         2009 | BM24ptBN24
 1909 | Totaranui                         |         2009 | BN25
 1910 | Collingwood                       |         2009 | BN24
 1911 | Paturau River                     |         2009 | BN23
 1912 | Waimarama                         |         2009 | BL39
 1913 | Waipukurau                        |         2009 | BL38
 1914 | Ongaonga                          |         2009 | BL37
 1915 | Norsewood                         |         2009 | BL36
 1916 | Kimbolton                         |         2009 | BL35
 1917 | Hunterville                       |         2009 | BL34
 1918 | Marton                            |         2009 | BL33
 1919 | Whanganui                         |         2009 | BL32
 1920 | Cape Turnagain                    |         2009 | BN38ptBN37
 1921 | Akitio                            |         2009 | BN37
 1922 | Pongaroa                          |         2009 | BN36
 1923 | Alfredton                         |         2009 | BN35
 1924 | Shannon                           |         2009 | BN34
 1925 | Levin                             |         2009 | BN33
 1926 | Stratford                         |         2009 | BJ30
 1927 | Mount Taranaki or Mount Egmont    |         2009 | BJ29
 1928 | Opunake                           |         2009 | BJ28
 1929 | Pihama                            |         2009 | BK28ptBJ28
 1930 | Kahurangi Point                   |         2009 | BN22
 1931 | Waikawa                           |         2009 | BQ29
 1932 | Havelock                          |         2009 | BQ28
